iter	Passed	Remaining
0	142	142755
1	147	73778
2	152	50528
3	156	38964
4	160	31962
5	165	27351
6	169	23975
7	171	21236
8	173	19109
9	175	17397
10	178	16030
11	180	14864
12	182	13874
13	185	13041
14	187	12308
15	189	11664
16	192	11107
17	194	10603
18	196	10148
19	198	9734
20	200	9332
21	201	8956
22	202	8610
23	203	8293
24	205	8001
25	206	7738
26	207	7489
27	209	7257
28	210	7041
29	211	6840
30	213	6658
31	214	6482
32	215	6318
33	216	6162
34	218	6014
35	219	5876
36	220	5746
37	222	5621
38	223	5502
39	224	5390
40	225	5282
41	227	5185
42	228	5088
43	229	4995
44	231	4905
45	232	4820
46	233	4738
47	235	4660
48	236	4586
49	237	4514
50	238	4444
51	240	4376
52	241	4316
53	243	4257
54	244	4197
55	245	4139
56	246	4083
57	248	4028
58	249	3980
59	251	3934
60	252	3884
61	253	3837
62	254	3791
63	256	3747
64	257	3704
65	258	3662
66	260	3621
67	261	3581
68	262	3542
69	263	3505
70	265	3468
71	266	3433
72	267	3399
73	268	3365
74	270	3333
75	271	3301
76	272	3269
77	274	3238
78	275	3209
79	276	3179
80	277	3152
81	279	3124
82	280	3098
83	281	3072
84	283	3046
85	284	3021
86	285	2997
87	286	2973
88	288	2949
89	289	2926
90	290	2903
91	292	2882
92	293	2860
93	294	2838
94	295	2817
95	297	2797
96	298	2777
97	299	2758
98	300	2738
99	302	2719
100	303	2700
101	304	2682
102	306	2667
103	307	2649
104	308	2631
105	310	2614
106	311	2598
107	312	2581
108	313	2565
109	315	2549
110	316	2534
111	317	2518
112	318	2503
113	320	2488
114	321	2474
115	322	2460
116	324	2445
117	325	2431
118	326	2417
119	328	2405
120	328	2387
121	329	2374
122	331	2361
123	332	2348
124	333	2335
125	335	2324
126	336	2311
127	337	2299
128	338	2287
129	340	2276
130	341	2264
131	342	2253
132	343	2242
133	345	2231
134	346	2220
135	347	2209
136	349	2199
137	350	2188
138	351	2178
139	352	2168
140	354	2158
141	355	2148
142	356	2138
143	358	2128
144	359	2119
145	360	2109
146	361	2100
147	363	2091
148	364	2082
149	365	2073
150	367	2064
151	368	2055
152	369	2046
153	371	2038
154	371	2027
155	373	2018
156	374	2010
157	375	2001
158	376	1993
159	378	1986
160	379	1978
161	380	1970
162	382	1962
163	383	1955
164	384	1947
165	386	1940
166	387	1932
167	388	1925
168	390	1917
169	391	1911
170	392	1903
171	393	1896
172	395	1889
173	396	1881
174	397	1875
175	399	1868
176	400	1862
177	401	1855
178	403	1848
179	404	1842
180	405	1835
181	406	1828
182	408	1822
183	409	1815
184	410	1809
185	411	1802
186	413	1797
187	414	1791
188	415	1784
189	417	1778
190	418	1772
191	419	1766
192	421	1760
193	422	1754
194	423	1748
195	424	1742
196	426	1736
197	427	1731
198	428	1725
199	429	1719
200	431	1713
201	432	1708
202	433	1702
203	435	1697
204	436	1692
205	437	1686
206	438	1681
207	440	1676
208	441	1670
209	442	1665
210	444	1660
211	445	1654
212	446	1649
213	447	1644
214	449	1640
215	450	1635
216	451	1630
217	453	1625
218	454	1619
219	455	1614
220	456	1610
221	458	1605
222	459	1600
223	460	1595
224	461	1591
225	463	1586
226	464	1581
227	465	1577
228	467	1572
229	468	1567
230	469	1563
231	471	1559
232	472	1554
233	473	1550
234	474	1545
235	476	1541
236	477	1537
237	478	1532
238	480	1528
239	481	1524
240	482	1519
241	483	1515
242	485	1511
243	486	1507
244	487	1503
245	489	1499
246	490	1495
247	491	1491
248	493	1487
249	494	1482
250	495	1478
251	496	1474
252	498	1470
253	499	1467
254	501	1463
255	502	1459
256	503	1456
257	504	1452
258	506	1448
259	507	1444
260	508	1440
261	510	1436
262	511	1432
263	512	1428
264	513	1425
265	515	1421
266	516	1418
267	517	1414
268	519	1410
269	520	1406
270	521	1403
271	522	1399
272	524	1395
273	525	1392
274	526	1388
275	528	1385
276	529	1381
277	530	1378
278	531	1374
279	533	1371
280	534	1367
281	535	1364
282	537	1361
283	538	1358
284	540	1354
285	541	1351
286	542	1348
287	544	1345
288	545	1342
289	547	1339
290	548	1335
291	549	1332
292	550	1329
293	552	1325
294	553	1322
295	554	1319
296	556	1316
297	557	1313
298	558	1310
299	560	1306
300	561	1303
301	562	1300
302	563	1297
303	565	1294
304	566	1291
305	567	1287
306	569	1284
307	570	1281
308	571	1278
309	573	1275
310	574	1272
311	575	1269
312	577	1266
313	578	1263
314	579	1260
315	580	1257
316	582	1254
317	583	1251
318	584	1248
319	586	1245
320	587	1242
321	588	1239
322	590	1236
323	591	1233
324	592	1231
325	594	1228
326	595	1225
327	596	1222
328	597	1219
329	599	1216
330	600	1213
331	601	1210
332	602	1207
333	604	1205
334	605	1202
335	606	1199
336	608	1196
337	609	1193
338	610	1191
339	612	1188
340	613	1185
341	614	1183
342	616	1180
343	617	1177
344	618	1174
345	620	1171
346	621	1169
347	622	1166
348	623	1163
349	625	1161
350	626	1158
351	627	1155
352	629	1153
353	630	1150
354	631	1147
355	632	1145
356	634	1142
357	635	1139
358	636	1137
359	638	1134
360	639	1132
361	640	1129
362	642	1126
363	643	1124
364	644	1121
365	646	1119
366	647	1116
367	648	1114
368	650	1111
369	651	1109
370	652	1106
371	654	1104
372	655	1101
373	656	1098
374	657	1096
375	659	1094
376	660	1091
377	661	1088
378	662	1086
379	664	1083
380	665	1081
381	666	1078
382	668	1076
383	669	1073
384	670	1071
385	672	1069
386	673	1066
387	674	1064
388	675	1061
389	677	1059
390	678	1056
391	680	1054
392	681	1052
393	682	1049
394	683	1047
395	685	1044
396	686	1042
397	687	1039
398	688	1037
399	690	1035
400	691	1032
401	692	1030
402	693	1028
403	695	1025
404	696	1023
405	697	1020
406	699	1018
407	700	1016
408	701	1014
409	703	1011
410	704	1009
411	705	1007
412	706	1004
413	708	1002
414	709	1000
415	710	998
416	712	995
417	713	993
418	714	991
419	716	988
420	717	986
421	718	984
422	719	982
423	721	979
424	722	977
425	723	975
426	725	973
427	726	970
428	727	968
429	729	966
430	730	964
431	731	961
432	732	959
433	734	957
434	735	955
435	736	952
436	738	950
437	739	948
438	740	946
439	741	944
440	743	942
441	744	939
442	745	937
443	747	935
444	748	933
445	749	931
446	750	929
447	752	926
448	753	924
449	754	922
450	756	920
451	757	918
452	758	916
453	759	913
454	761	911
455	762	909
456	763	907
457	765	905
458	766	903
459	767	901
460	768	898
461	770	896
462	771	894
463	772	892
464	773	890
465	775	888
466	776	886
467	777	884
468	779	882
469	780	879
470	781	877
471	782	875
472	784	873
473	785	871
474	786	869
475	788	867
476	789	865
477	790	863
478	791	861
479	793	859
480	794	857
481	795	855
482	797	853
483	798	851
484	799	849
485	801	847
486	802	845
487	803	843
488	805	841
489	806	839
490	808	837
491	810	836
492	811	834
493	812	832
494	814	830
495	815	828
496	816	826
497	818	824
498	819	822
499	820	820
500	822	818
501	823	816
502	824	814
503	826	812
504	827	810
505	828	808
506	829	806
507	831	804
508	832	802
509	833	800
510	834	798
511	836	796
512	837	795
513	838	793
514	840	791
515	841	789
516	842	787
517	844	785
518	845	783
519	846	781
520	848	779
521	849	777
522	850	775
523	851	773
524	853	772
525	854	770
526	855	768
527	857	766
528	858	764
529	859	762
530	861	760
531	862	758
532	863	756
533	865	754
534	866	753
535	867	751
536	869	749
537	870	747
538	871	745
539	872	743
540	874	741
541	875	739
542	876	738
543	878	736
544	879	734
545	880	732
546	882	730
547	883	728
548	884	726
549	886	725
550	887	723
551	888	721
552	890	719
553	891	717
554	892	715
555	894	714
556	895	712
557	897	710
558	898	708
559	899	707
560	901	705
561	902	703
562	903	701
563	905	700
564	906	698
565	908	696
566	909	694
567	910	692
568	912	690
569	913	688
570	914	687
571	915	685
572	917	683
573	918	681
574	919	679
575	920	677
576	922	676
577	923	674
578	924	672
579	926	670
580	927	668
581	928	666
582	929	665
583	931	663
584	932	661
585	933	659
586	935	658
587	936	656
588	937	654
589	939	652
590	940	650
591	941	648
592	942	647
593	944	645
594	945	643
595	946	641
596	948	640
597	949	638
598	950	636
599	951	634
600	953	632
601	954	631
602	955	629
603	957	627
604	958	625
605	959	623
606	960	622
607	962	620
608	963	618
609	964	616
610	965	614
611	967	613
612	968	611
613	969	609
614	971	607
615	972	606
616	973	604
617	974	602
618	976	600
619	977	599
620	978	597
621	980	595
622	981	593
623	982	592
624	983	590
625	985	588
626	986	586
627	987	585
628	989	583
629	990	581
630	992	580
631	993	578
632	994	576
633	996	575
634	997	573
635	999	571
636	1000	570
637	1001	568
638	1003	566
639	1004	565
640	1006	563
641	1007	561
642	1008	560
643	1010	558
644	1011	556
645	1012	555
646	1014	553
647	1015	551
648	1016	549
649	1017	548
650	1019	546
651	1021	545
652	1022	543
653	1023	541
654	1024	539
655	1026	538
656	1027	536
657	1028	534
658	1030	533
659	1031	531
660	1032	529
661	1034	528
662	1036	526
663	1037	525
664	1039	523
665	1041	522
666	1044	521
667	1045	519
668	1049	519
669	1051	517
670	1053	516
671	1056	515
672	1058	514
673	1060	513
674	1063	511
675	1066	511
676	1068	509
677	1070	508
678	1072	506
679	1073	505
680	1075	503
681	1077	502
682	1079	501
683	1081	499
684	1084	498
685	1087	497
686	1089	496
687	1091	494
688	1093	493
689	1096	492
690	1098	491
691	1100	490
692	1102	488
693	1105	487
694	1107	485
695	1110	484
696	1112	483
697	1114	482
698	1116	480
699	1118	479
700	1119	477
701	1121	476
702	1123	474
703	1124	472
704	1126	471
705	1129	470
706	1131	469
707	1133	467
708	1134	465
709	1136	464
710	1137	462
711	1139	460
712	1140	459
713	1142	457
714	1144	456
715	1146	454
716	1148	453
717	1150	451
718	1151	450
719	1154	448
720	1156	447
721	1158	446
722	1160	444
723	1163	443
724	1165	441
725	1167	440
726	1170	439
727	1173	438
728	1176	437
729	1178	435
730	1180	434
731	1181	432
732	1183	431
733	1185	429
734	1186	427
735	1188	426
736	1189	424
737	1191	422
738	1194	421
739	1195	420
740	1198	418
741	1200	417
742	1202	415
743	1204	414
744	1207	413
745	1210	412
746	1213	410
747	1215	409
748	1218	408
749	1220	406
750	1222	405
751	1224	403
752	1225	402
753	1227	400
754	1228	398
755	1230	397
756	1231	395
757	1233	393
758	1235	392
759	1236	390
760	1238	388
761	1240	387
762	1242	385
763	1243	384
764	1245	382
765	1247	380
766	1248	379
767	1250	377
768	1252	376
769	1255	375
770	1258	373
771	1261	372
772	1263	371
773	1267	370
774	1269	368
775	1270	366
776	1276	366
777	1278	364
778	1279	362
779	1280	361
780	1282	359
781	1283	357
782	1285	356
783	1286	354
784	1287	352
785	1289	351
786	1290	349
787	1291	347
788	1293	345
789	1294	344
790	1295	342
791	1296	340
792	1298	339
793	1300	337
794	1301	335
795	1302	333
796	1303	332
797	1305	330
798	1306	328
799	1308	327
800	1309	325
801	1310	323
802	1311	321
803	1313	320
804	1315	318
805	1316	316
806	1318	315
807	1319	313
808	1321	312
809	1323	310
810	1324	308
811	1326	307
812	1327	305
813	1329	303
814	1330	302
815	1331	300
816	1333	298
817	1334	296
818	1335	295
819	1337	293
820	1338	291
821	1339	290
822	1340	288
823	1342	286
824	1343	285
825	1344	283
826	1346	281
827	1347	279
828	1348	278
829	1350	276
830	1351	274
831	1352	273
832	1354	271
833	1355	269
834	1356	268
835	1358	266
836	1359	264
837	1360	263
838	1362	261
839	1363	259
840	1365	258
841	1366	256
842	1367	254
843	1369	253
844	1370	251
845	1372	249
846	1373	248
847	1375	246
848	1376	244
849	1377	243
850	1379	241
851	1380	239
852	1381	238
853	1382	236
854	1384	234
855	1385	233
856	1386	231
857	1388	229
858	1389	228
859	1390	226
860	1391	224
861	1393	223
862	1394	221
863	1395	219
864	1397	218
865	1398	216
866	1399	214
867	1401	213
868	1402	211
869	1403	209
870	1404	208
871	1406	206
872	1407	204
873	1408	203
874	1410	201
875	1411	199
876	1412	198
877	1413	196
878	1415	194
879	1416	193
880	1417	191
881	1419	189
882	1420	188
883	1421	186
884	1422	184
885	1424	183
886	1425	181
887	1426	179
888	1427	178
889	1429	176
890	1430	175
891	1431	173
892	1433	171
893	1434	170
894	1435	168
895	1437	166
896	1438	165
897	1439	163
898	1440	161
899	1442	160
900	1443	158
901	1444	156
902	1445	155
903	1447	153
904	1448	152
905	1449	150
906	1451	148
907	1452	147
908	1453	145
909	1454	143
910	1456	142
911	1457	140
912	1458	139
913	1460	137
914	1461	135
915	1462	134
916	1463	132
917	1465	130
918	1466	129
919	1468	127
920	1469	126
921	1470	124
922	1472	122
923	1474	121
924	1475	119
925	1477	118
926	1478	116
927	1480	114
928	1481	113
929	1482	111
930	1483	109
931	1485	108
932	1486	106
933	1487	105
934	1489	103
935	1490	101
936	1491	100
937	1493	98
938	1494	97
939	1495	95
940	1496	93
941	1498	92
942	1499	90
943	1500	89
944	1501	87
945	1503	85
946	1504	84
947	1505	82
948	1506	80
949	1508	79
950	1509	77
951	1510	76
952	1512	74
953	1513	72
954	1514	71
955	1516	69
956	1517	68
957	1518	66
958	1519	64
959	1521	63
960	1522	61
961	1523	60
962	1525	58
963	1526	57
964	1527	55
965	1528	53
966	1530	52
967	1531	50
968	1532	49
969	1533	47
970	1535	45
971	1536	44
972	1538	42
973	1539	41
974	1540	39
975	1542	37
976	1543	36
977	1544	34
978	1546	33
979	1547	31
980	1548	29
981	1549	28
982	1551	26
983	1553	25
984	1554	23
985	1556	22
986	1558	20
987	1560	18
988	1562	17
989	1563	15
990	1567	14
991	1568	12
992	1570	11
993	1571	9
994	1573	7
995	1574	6
996	1576	4
997	1577	3
998	1578	1
999	1580	0
