iter	Passed	Remaining
0	133	133160
1	134	67196
2	135	45153
3	137	34155
4	138	27628
5	140	23236
6	141	20062
7	148	18375
8	149	16460
9	150	14925
10	151	13656
11	153	12605
12	154	11751
13	157	11119
14	160	10543
15	161	9956
16	163	9441
17	165	9021
18	166	8604
19	167	8228
20	169	7885
21	171	7607
22	173	7358
23	175	7122
24	176	6877
25	177	6651
26	178	6445
27	180	6262
28	181	6079
29	182	5905
30	185	5813
31	189	5738
32	190	5593
33	192	5460
34	193	5329
35	194	5204
36	195	5087
37	196	4977
38	197	4877
39	201	4837
40	202	4746
41	204	4659
42	205	4583
43	207	4499
44	208	4430
45	209	4351
46	210	4276
47	216	4288
48	218	4232
49	219	4167
50	220	4104
51	221	4044
52	223	3986
53	224	3931
54	225	3879
55	230	3886
56	233	3855
57	234	3805
58	235	3755
59	236	3707
60	237	3659
61	238	3612
62	240	3572
63	242	3540
64	245	3528
65	246	3490
66	248	3454
67	249	3417
68	250	3383
69	252	3348
70	253	3312
71	254	3278
72	255	3244
73	262	3278
74	263	3249
75	264	3218
76	265	3188
77	268	3172
78	269	3141
79	270	3111
80	272	3093
81	275	3084
82	277	3060
83	278	3034
84	279	3007
85	280	2982
86	281	2956
87	283	2936
88	284	2911
89	286	2892
90	289	2888
91	290	2870
92	293	2862
93	294	2841
94	295	2818
95	297	2800
96	298	2780
97	299	2758
98	304	2766
99	306	2756
100	307	2739
101	308	2719
102	310	2703
103	312	2688
104	313	2673
105	314	2653
106	318	2656
107	321	2656
108	323	2641
109	324	2629
110	326	2612
111	327	2596
112	328	2581
113	330	2565
114	334	2570
115	336	2560
116	338	2553
117	339	2539
118	340	2524
119	342	2509
120	343	2497
121	344	2482
122	350	2501
123	352	2491
124	353	2476
125	355	2462
126	356	2448
127	357	2437
128	359	2424
129	360	2413
130	367	2437
131	369	2427
132	370	2417
133	372	2405
134	374	2396
135	385	2446
136	386	2433
137	387	2421
138	388	2408
139	389	2395
140	391	2384
141	395	2392
142	398	2387
143	399	2376
144	401	2364
145	402	2352
146	403	2341
147	404	2331
148	406	2320
149	409	2320
150	413	2322
151	414	2312
152	415	2300
153	416	2289
154	417	2278
155	419	2269
156	420	2260
157	422	2253
158	426	2255
159	428	2248
160	429	2238
161	430	2228
162	432	2218
163	433	2210
164	434	2200
165	435	2189
166	440	2197
167	442	2192
168	444	2183
169	445	2174
170	447	2168
171	448	2160
172	449	2150
173	450	2140
174	455	2147
175	457	2142
176	458	2133
177	460	2124
178	461	2115
179	462	2106
180	464	2099
181	465	2092
182	468	2093
183	471	2091
184	473	2083
185	475	2078
186	476	2070
187	477	2062
188	478	2053
189	480	2046
190	481	2039
191	486	2046
192	487	2039
193	488	2031
194	490	2022
195	491	2018
196	493	2011
197	494	2003
198	495	1994
199	499	1999
200	502	1996
201	503	1989
202	506	1988
203	508	1982
204	509	1976
205	511	1970
206	514	1972
207	516	1967
208	518	1962
209	519	1955
210	521	1948
211	522	1942
212	524	1936
213	532	1956
214	533	1949
215	535	1942
216	536	1936
217	537	1928
218	538	1921
219	539	1914
220	548	1931
221	549	1925
222	550	1918
223	552	1912
224	553	1905
225	554	1898
226	555	1892
227	562	1905
228	564	1899
229	565	1894
230	567	1888
231	568	1881
232	569	1875
233	570	1868
234	577	1878
235	580	1878
236	581	1873
237	583	1867
238	584	1862
239	586	1856
240	591	1861
241	593	1860
242	595	1854
243	596	1847
244	597	1841
245	598	1835
246	599	1829
247	601	1823
248	604	1823
249	607	1822
250	608	1817
251	610	1810
252	611	1805
253	612	1799
254	613	1793
255	614	1787
256	616	1781
257	622	1791
258	625	1788
259	626	1783
260	627	1777
261	629	1772
262	630	1767
263	632	1761
264	633	1756
265	635	1753
266	638	1754
267	640	1749
268	642	1745
269	643	1740
270	645	1735
271	646	1730
272	649	1730
273	653	1730
274	656	1730
275	657	1725
276	659	1720
277	660	1715
278	661	1709
279	664	1707
280	666	1705
281	668	1701
282	669	1695
283	670	1690
284	672	1687
285	674	1682
286	675	1678
287	679	1679
288	681	1676
289	683	1672
290	684	1667
291	686	1664
292	687	1659
293	689	1656
294	693	1657
295	696	1657
296	699	1656
297	701	1651
298	702	1647
299	703	1642
300	704	1636
301	708	1636
302	711	1637
303	713	1634
304	715	1629
305	717	1627
306	718	1622
307	719	1617
308	721	1612
309	726	1617
310	728	1613
311	729	1608
312	730	1604
313	732	1599
314	744	1619
315	746	1615
316	747	1611
317	753	1616
318	755	1611
319	756	1607
320	757	1602
321	759	1599
322	760	1594
323	761	1589
324	764	1588
325	768	1587
326	769	1584
327	770	1579
328	772	1574
329	773	1569
330	774	1564
331	775	1560
332	777	1556
333	780	1557
334	782	1553
335	784	1549
336	785	1545
337	786	1540
338	787	1536
339	789	1532
340	790	1527
341	792	1523
342	793	1520
343	794	1516
344	796	1511
345	797	1507
346	798	1503
347	799	1498
348	800	1494
349	802	1489
350	804	1487
351	808	1488
352	810	1484
353	811	1480
354	812	1475
355	813	1471
356	814	1467
357	816	1463
358	817	1459
359	820	1457
360	822	1456
361	824	1452
362	826	1450
363	828	1446
364	829	1442
365	830	1438
366	831	1434
367	832	1430
368	839	1435
369	840	1431
370	841	1427
371	843	1423
372	845	1420
373	846	1417
374	847	1413
375	851	1412
376	856	1415
377	858	1412
378	859	1408
379	861	1404
380	863	1403
381	869	1406
382	870	1402
383	872	1399
384	873	1396
385	875	1392
386	876	1388
387	877	1384
388	878	1380
389	881	1379
390	883	1375
391	884	1371
392	885	1367
393	886	1363
394	888	1360
395	889	1357
396	891	1353
397	892	1350
398	896	1351
399	898	1347
400	899	1344
401	901	1340
402	903	1338
403	904	1334
404	908	1334
405	909	1330
406	910	1326
407	911	1322
408	913	1319
409	914	1315
410	915	1312
411	916	1308
412	918	1304
413	919	1301
414	920	1297
415	923	1296
416	924	1292
417	925	1288
418	926	1285
419	927	1281
420	929	1277
421	930	1274
422	931	1271
423	933	1267
424	934	1263
425	937	1262
426	938	1259
427	939	1255
428	940	1252
429	942	1248
430	943	1245
431	944	1241
432	945	1238
433	947	1235
434	948	1231
435	951	1231
436	953	1227
437	954	1224
438	955	1221
439	956	1217
440	958	1214
441	959	1211
442	961	1208
443	962	1205
444	963	1201
445	964	1198
446	968	1197
447	969	1194
448	970	1190
449	971	1187
450	972	1184
451	974	1181
452	975	1178
453	977	1175
454	978	1172
455	979	1168
456	982	1167
457	983	1164
458	985	1161
459	986	1158
460	987	1154
461	988	1151
462	990	1148
463	991	1144
464	992	1141
465	993	1138
466	994	1135
467	998	1134
468	999	1132
469	1001	1129
470	1005	1128
471	1010	1130
472	1016	1132
473	1019	1131
474	1021	1129
475	1024	1127
476	1028	1127
477	1030	1125
478	1041	1132
479	1046	1133
480	1048	1131
481	1050	1129
482	1052	1126
483	1054	1124
484	1056	1121
485	1062	1124
486	1064	1121
487	1066	1119
488	1068	1116
489	1072	1116
490	1079	1118
491	1081	1116
492	1083	1114
493	1086	1112
494	1088	1110
495	1093	1111
496	1095	1108
497	1101	1110
498	1103	1107
499	1108	1108
500	1110	1106
501	1112	1103
502	1114	1101
503	1119	1102
504	1122	1100
505	1125	1098
506	1127	1096
507	1129	1093
508	1130	1090
509	1136	1091
510	1139	1090
511	1141	1087
512	1144	1086
513	1147	1085
514	1153	1086
515	1155	1083
516	1157	1081
517	1159	1078
518	1162	1077
519	1168	1078
520	1173	1078
521	1175	1076
522	1176	1073
523	1177	1069
524	1179	1066
525	1184	1067
526	1185	1064
527	1187	1061
528	1188	1058
529	1190	1055
530	1191	1052
531	1192	1049
532	1193	1046
533	1198	1046
534	1201	1043
535	1202	1040
536	1204	1038
537	1205	1035
538	1206	1032
539	1207	1028
540	1208	1025
541	1210	1022
542	1212	1020
543	1214	1018
544	1215	1014
545	1216	1011
546	1217	1008
547	1218	1005
548	1219	1002
549	1221	999
550	1222	995
551	1223	992
552	1224	989
553	1227	987
554	1228	985
555	1229	982
556	1230	979
557	1232	975
558	1233	973
559	1234	970
560	1235	967
561	1237	964
562	1238	960
563	1239	957
564	1240	955
565	1242	952
566	1243	949
567	1244	946
568	1245	943
569	1246	940
570	1248	937
571	1249	934
572	1250	931
573	1251	929
574	1252	926
575	1254	923
576	1256	921
577	1257	918
578	1259	915
579	1260	912
580	1261	909
581	1262	906
582	1263	903
583	1264	900
584	1265	897
585	1266	894
586	1267	892
587	1268	889
588	1271	887
589	1272	884
590	1273	881
591	1274	878
592	1275	875
593	1277	872
594	1278	870
595	1279	867
596	1280	864
597	1281	861
598	1282	858
599	1283	855
600	1284	852
601	1287	850
602	1288	848
603	1289	845
604	1290	842
605	1291	839
606	1292	836
607	1293	834
608	1294	831
609	1295	828
610	1296	825
611	1298	822
612	1299	820
613	1302	818
614	1303	815
615	1304	813
616	1306	810
617	1307	808
618	1308	805
619	1309	802
620	1310	799
621	1311	796
622	1312	794
623	1313	791
624	1316	789
625	1317	787
626	1318	784
627	1319	781
628	1320	779
629	1322	776
630	1323	773
631	1324	771
632	1325	768
633	1326	765
634	1327	763
635	1328	760
636	1331	758
637	1332	756
638	1333	753
639	1334	750
640	1335	748
641	1336	745
642	1338	742
643	1339	740
644	1340	737
645	1341	735
646	1342	732
647	1343	730
648	1345	727
649	1346	725
650	1348	722
651	1349	720
